Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,age,LoanAmountScale,TotalIncome,MonthlyPayment,DebtToIncomeRatio,TotalIncomeCut
Male,No,0,Graduate,No,5849,0.0,360.0,1.0,Urban,Y,45.0,128000.0,5849.0,355.55555555555554,0.060789118747744154,2nd part
Male,Yes,1,Graduate,No,4583,1508.0,360.0,1.0,Rural,N,48.0,128000.0,6091.0,355.55555555555554,0.05837392145059195,2nd part
Male,Yes,0,Graduate,Yes,3000,0.0,360.0,1.0,Urban,Y,34.0,66000.0,3000.0,183.33333333333334,0.061111111111111116,1st part
Male,Yes,0,Not Graduate,No,2583,2358.0,360.0,1.0,Urban,Y,34.0,120000.0,4941.0,333.3333333333333,0.067462726843419,1st part
Male,No,0,Graduate,No,6000,0.0,360.0,1.0,Urban,Y,38.0,141000.0,6000.0,391.6666666666667,0.06527777777777778,2nd part
Male,Yes,2,Graduate,Yes,5417,4196.0,360.0,1.0,Urban,Y,49.0,267000.0,9613.0,741.6666666666666,0.07715246714518534,3rd part
Male,Yes,0,Not Graduate,No,2333,1516.0,360.0,1.0,Urban,Y,51.0,95000.0,3849.0,263.8888888888889,0.06856037643255103,1st part
Male,Yes,3+,Graduate,No,3036,2504.0,360.0,0.0,Semiurban,N,36.0,158000.0,5540.0,438.8888888888889,0.07922182109907742,2nd part
Male,Yes,2,Graduate,No,4006,1526.0,360.0,1.0,Urban,Y,42.0,168000.0,5532.0,466.6666666666667,0.08435767654856592,2nd part
Male,Yes,2,Graduate,No,3200,700.0,360.0,1.0,Urban,Y,57.0,70000.0,3900.0,194.44444444444446,0.04985754985754986,1st part
Male,Yes,2,Graduate,No,2500,1840.0,360.0,1.0,Urban,Y,54.0,109000.0,4340.0,302.77777777777777,0.06976446492575525,1st part
Male,Yes,2,Graduate,No,3073,8106.0,360.0,1.0,Urban,Y,33.0,200000.0,11179.0,555.5555555555555,0.04969635526930455,3rd part
Male,No,0,Graduate,No,1853,2840.0,360.0,1.0,Rural,N,52.0,114000.0,4693.0,316.6666666666667,0.06747638326585695,1st part
Male,Yes,2,Graduate,No,1299,1086.0,120.0,1.0,Urban,Y,32.0,17000.0,2385.0,141.66666666666666,0.0593990216631726,1st part
Male,No,0,Graduate,No,4950,0.0,360.0,1.0,Urban,Y,49.0,125000.0,4950.0,347.22222222222223,0.07014590347923681,1st part
Male,No,1,Not Graduate,No,3596,0.0,240.0,1.0,Urban,Y,47.0,100000.0,3596.0,416.6666666666667,0.11586948461253245,1st part
Female,No,0,Graduate,No,3510,0.0,360.0,0.0,Urban,N,57.0,76000.0,3510.0,211.11111111111111,0.06014561570117126,1st part
Male,Yes,0,Not Graduate,No,4887,0.0,360.0,1.0,Rural,N,51.0,133000.0,4887.0,369.44444444444446,0.07559738990064344,1st part
Male,Yes,0,Graduate,No,2600,3500.0,360.0,1.0,Urban,Y,41.0,115000.0,6100.0,319.44444444444446,0.05236794171220401,2nd part
Male,Yes,0,Not Graduate,No,7660,0.0,360.0,0.0,Urban,N,37.0,104000.0,7660.0,288.8888888888889,0.037713954163040325,2nd part
Male,Yes,1,Graduate,No,5955,5625.0,360.0,1.0,Urban,Y,32.0,315000.0,11580.0,875.0,0.07556131260794473,3rd part
Male,Yes,0,Not Graduate,No,2600,1911.0,360.0,0.0,Semiurban,N,49.0,116000.0,4511.0,322.22222222222223,0.07143033079632503,1st part
Male,Yes,2,Not Graduate,No,3365,1917.0,360.0,0.0,Rural,N,46.0,112000.0,5282.0,311.1111111111111,0.058900248222474645,1st part
Male,Yes,1,Graduate,No,3717,2925.0,360.0,1.0,Semiurban,N,56.0,151000.0,6642.0,419.44444444444446,0.0631503228612533,2nd part
Male,Yes,0,Graduate,Yes,9560,0.0,360.0,1.0,Semiurban,Y,46.0,191000.0,9560.0,530.5555555555555,0.055497443049744306,3rd part
Male,Yes,0,Graduate,No,2799,2253.0,360.0,1.0,Semiurban,Y,32.0,122000.0,5052.0,338.8888888888889,0.06708014427729393,1st part
Male,Yes,2,Not Graduate,No,4226,1040.0,360.0,1.0,Urban,Y,47.0,110000.0,5266.0,305.55555555555554,0.05802422247541883,1st part
Male,No,0,Not Graduate,No,1442,0.0,360.0,1.0,Urban,N,32.0,35000.0,1442.0,97.22222222222223,0.0674217907227616,1st part
Female,No,2,Graduate,No,3750,2083.0,360.0,1.0,Semiurban,Y,57.0,120000.0,5833.0,333.3333333333333,0.05714612263557917,2nd part
Male,Yes,1,Graduate,No,4166,3369.0,360.0,1.0,Urban,N,57.0,201000.0,7535.0,558.3333333333334,0.07409865074098651,2nd part
Male,No,0,Graduate,No,3167,0.0,360.0,1.0,Urban,N,33.0,74000.0,3167.0,205.55555555555554,0.0649054485492755,1st part
Male,No,1,Graduate,Yes,4692,0.0,360.0,1.0,Rural,N,53.0,106000.0,4692.0,294.44444444444446,0.0627545704272047,1st part
Male,Yes,0,Graduate,No,3500,1667.0,360.0,1.0,Semiurban,Y,51.0,114000.0,5167.0,316.6666666666667,0.06128636862137927,1st part
Male,No,3+,Graduate,No,12500,3000.0,360.0,1.0,Rural,N,40.0,320000.0,15500.0,888.8888888888889,0.05734767025089606,4th part
Male,Yes,0,Graduate,No,2275,2067.0,360.0,1.0,Urban,Y,46.0,128000.0,4342.0,355.55555555555554,0.08188750703720764,1st part
Male,Yes,0,Graduate,No,1828,1330.0,360.0,0.0,Urban,N,40.0,100000.0,3158.0,277.77777777777777,0.08796003096193089,1st part
Female,Yes,0,Graduate,No,3667,1459.0,360.0,1.0,Semiurban,Y,36.0,144000.0,5126.0,400.0,0.07803355442840422,1st part
Male,No,0,Graduate,No,4166,7210.0,360.0,1.0,Urban,Y,32.0,184000.0,11376.0,511.1111111111111,0.0449288951398656,3rd part
Male,No,0,Not Graduate,No,3748,1668.0,360.0,1.0,Semiurban,Y,48.0,110000.0,5416.0,305.55555555555554,0.056417200065649105,2nd part
Male,No,0,Graduate,No,3600,0.0,360.0,1.0,Urban,N,52.0,80000.0,3600.0,222.22222222222223,0.0617283950617284,1st part
Male,No,0,Graduate,No,1800,1213.0,360.0,1.0,Urban,Y,36.0,47000.0,3013.0,130.55555555555554,0.04333075192683556,1st part
Male,Yes,0,Graduate,No,2400,0.0,360.0,1.0,Urban,Y,49.0,75000.0,2400.0,208.33333333333334,0.08680555555555557,1st part
Male,Yes,0,Graduate,No,3941,2336.0,360.0,1.0,Semiurban,Y,55.0,134000.0,6277.0,372.22222222222223,0.05929938222434638,2nd part
Male,Yes,0,Not Graduate,Yes,4695,0.0,360.0,1.0,Urban,Y,35.0,96000.0,4695.0,266.6666666666667,0.05679801206957757,1st part
